"lift-00-rfile"
"Iteration" "lift-00"
("Iteration" "lift-00")
10 -1.427820908350404e-05
20 9.120539789836694e-05
30 9.252137028840988e-05
40 8.413945429752763e-05
50 7.65096998643051e-05
60 7.23212270102212e-05
70 7.229109186999377e-05
80 6.408039032706712e-05
90 5.62800632583594e-05
100 5.400092866881088e-05
110 5.709396916265574e-05
120 5.980696361060443e-05
130 5.193549666118765e-05
140 5.655616177154975e-05
150 5.32769511081269e-05
160 4.803603406384381e-05
170 4.256083435941944e-05
180 3.356283135882799e-05
190 3.065142770645204e-05
200 2.798371947973956e-05
210 2.641950645674485e-05
220 3.102398517538173e-05
230 3.078281853892728e-05
240 2.781641613883739e-05
250 2.274660328127189e-05
260 1.969107121608299e-05
270 1.205563191015881e-05
280 8.310058623022366e-06
290 5.752681760481994e-06
300 2.372778442349959e-06
310 2.167075540327285e-06
320 3.712194883325886e-06
330 2.378123489910219e-06
340 2.893409539614603e-07
350 -1.7498458695615e-06
360 -3.623469469774723e-06
370 -4.718335751257788e-06
380 -5.041076348865979e-06
390 -5.16428484177844e-06
400 -5.238779270376871e-06
410 -5.313027662604551e-06
420 -5.383888461389556e-06
430 -5.409073934329801e-06
440 -5.397867238098185e-06
450 -5.330320402436738e-06
460 -5.21334066564749e-06
470 -5.087988550301982e-06
480 -4.944167125981399e-06
490 -4.784532617625851e-06
500 -4.62007004508841e-06
510 -4.457322695898596e-06
520 -4.300368313044572e-06
530 -4.158784473139565e-06
540 -4.003116692272985e-06
550 -3.873686479886021e-06
560 -3.753232841817327e-06
570 -3.619915242739041e-06
580 -3.490933636763011e-06
590 -3.379893751441295e-06
600 -3.260425803561354e-06
610 -3.146581902374515e-06
620 -3.031432352651322e-06
630 -2.919592079585632e-06
640 -2.807384815889809e-06
650 -2.704695780916419e-06
660 -2.599936269130364e-06
670 -2.497121740393494e-06
680 -2.391837492957602e-06
690 -2.304935848982699e-06
700 -2.213877950380511e-06
710 -2.122110651878555e-06
720 -2.032031162937372e-06
730 -1.948399908451698e-06
740 -1.868403701994425e-06
750 -1.792353866774626e-06
760 -1.710117118570977e-06
770 -1.630280491155158e-06
780 -1.566283808348164e-06
790 -1.498689363925044e-06
800 -1.432503375574404e-06
810 -1.374707158393178e-06
820 -1.324326918217122e-06
830 -1.264105450849023e-06
840 -1.207933750291196e-06
850 -1.155955803567495e-06
860 -1.105608949174318e-06
870 -1.061462811726583e-06
880 -1.018268555512852e-06
890 -9.763942394040663e-07
900 -9.359990818542252e-07
910 -8.990801568060899e-07
920 -8.673445585073853e-07
930 -8.317428785818262e-07
940 -8.001755065494091e-07
950 -7.717772266543195e-07
960 -7.46425780675587e-07
970 -7.216823952070296e-07
980 -6.975078541439387e-07
990 -6.746450373666279e-07
1000 -6.539460007940147e-07
